,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
0,266,51630,87,b'GALAXY',b'STARBURST',0.06741422,625.9243,117.5592,51.88348,187.5996,22.94478,125.9418,82.95983,-59.226,-17.77728
1,266,51602,159,b'GALAXY',b'STARBURST',0.0536029,374.8391,82.36267,61.42209,105.3284,13.33986,79.49012,55.71835,-46.11523,-13.05105
2,267,51608,621,b'GALAXY',b'STARFORMING',0.03546179,420.5194,106.9028,202.5237,88.06135,16.43069,94.87071,74.93069,-28.5887,-6.061126
3,269,51910,135,b'GALAXY',b'STARBURST',0.09410395,442.6733,135.5812,168.4846,94.99934,18.49554,87.43896,66.73173,-40.66494,-8.408584
4,269,51910,288,b'GALAXY',b'STARFORMING',0.04623836,500.8737,113.9501,41.15973,158.5574,13.36059,99.77538,66.24239,-42.28374,-13.1495
5,269,51910,395,b'GALAXY',b'STARFORMING',0.09882391,241.406,71.27544,62.42987,49.36507,10.86691,53.12526,36.21382,-38.73834,-13.59933
6,269,51910,640,b'GALAXY',b'STARFORMING',0.0314129,159.1111,57.57797,24.14566,50.82046,11.63004,38.20793,27.67314,-15.95025,-5.240808
7,270,51909,405,b'GALAXY',b'STARFORMING',0.04485136,185.9118,52.08688,37.89846,44.62892,8.354786,46.53981,32.35217,-29.96779,-6.744009
8,271,51883,187,b'GALAXY',b'STARBURST',0.08577679,445.7981,99.56963,21.07095,152.3646,10.17671,66.63037,43.52723,-43.86391,-15.21238
9,271,51883,578,b'GALAXY',b'STARFORMING',0.07096665,181.0757,44.92733,25.80714,46.99356,8.354898,44.2423,28.28392,-23.45504,-5.987779
10,272,51941,18,b'GALAXY',b'',0.1104557,165.346,27.8215,205.0293,190.8269,21.48119,52.80701,48.07079,-8.377118,-9.53286
11,272,51941,210,b'GALAXY',b'STARFORMING',0.06336549,233.6361,59.05734,56.14983,55.69978,9.034779,49.72602,33.37429,-35.09299,-8.905787
